OBJECTID,X,Y,Z,Layer,GUID,MUTCD,width,height,content,comments,condition,assembly_id,Longitude,Latitude
931,436631.4749009209,3138777.158929321,149.4118494931608,Sign,8057940c-56ac-484d-811b-4bd6953a29e3,W2-1aT,1.311523833163002,1.276580011044483,HIGHWAY INTERSECTION AHEAD,,Good,ae5020e8-e6b6-4e50-914c-697826137786,-99.64673421411462,28.373763484412198
932,437216.5737732282,3138232.663744354,141.2074977457523,Sign,8dac63e6-b554-4f0e-ba65-bbc8808a4767,OM1-3,0.4965126498844641,0.4864950898480622,,,Good,c23eb049-1ccc-405b-a75b-7c3fc3a18f32,-99.64073351864715,28.368876939341558
933,416021.7859970783,3155262.074201332,158.3894486259669,Sign,d8f0933d-6721-49ac-9fd6-02ac96a175cc,D3-1,0.6665328897749587,0.2214655280113218,PENA STREET,,Good,8a725bc7-ebb1-4002-881f-4d717d2ad720,-99.85825860203498,28.521391095418654
934,420275.3345630034,3151784.088856083,158.6446872269735,Sign,3d3e9c07-30c3-41cd-a797-b34260a78049,M1-6FS,0.6810954178757856,0.7516234351029385,FARM 1556,,Good,e7b22334-483a-4d7c-9ff3-4a595d436936,-99.81454981280467,28.490267456060288
935,416208.7330807449,3155409.7773535,155.5210797572508,Sign,65d861fd-da50-4d7b-83d2-31eb816577fe,M6-1,0.6470684350879202,0.3518246975121587,,,Good,24116977-9a21-4d32-80e4-e02a5eb93a4e,-99.85635894855851,28.522736260238123
936,416773.5365450519,3155193.632203205,152.9173853360116,Sign,78279dd3-7319-4fae-84fd-240df47685c2,S1-1,1.028542893519979,0.9263298885745512,,,Good,297ec8a0-733a-408f-918b-315b4262b738,-99.85057144060794,28.52082168069846
937,414556.0115764032,3155854.63503296,174.2714294744655,Sign,da6a79b8-3e36-4c90-bbc0-8bed3d2b9286,D3-1,0.6219016396723743,0.1577446607120974,,22ND STREET,Good,1498eed6-63c0-497c-80dd-d84b8f8d87e9,-99.8732814980971,28.526643827925735
938,415808.5850090947,3155303.783900939,162.277177946642,Sign,fff25da3-123d-4371-8895-2a973c4bc13f,M6-4,0.6155116266546119,0.3764584910075627,,,Good,f30a955a-bb45-4a31-a7e2-66aff6d9cc77,-99.86044037440325,28.5217537681311
939,436434.1101325165,3139004.515624629,150.4045496918261,Sign,8e74f41d-2cea-4913-8bb0-3e823c159e81,R19-8T,0.8283576322489185,0.8069908406673207,FASTEN SAFETY BELTS STATE LAW,,Good,34373679-19e0-460b-824e-443c75fcef13,-99.64876088394712,28.37580608518622
940,416021.8106142723,3155262.061439759,158.1984637007117,Sign,250f3c3d-913e-49f9-abf6-f4cc0a7fa1b1,D3-1,0.6651623283743363,0.1698676858648992,2ND STREET,,Good,8a725bc7-ebb1-4002-881f-4d717d2ad720,-99.85825834953722,28.521390981827203
941,423271.411725,3147948.676128125,144.1267688079834,Sign,e7e60f68-3421-46c3-81c0-cd49309b597c,Unknown,0.0869212374091148,0.2527662813663483,,,Remove,c3d35568-b518-4703-b922-736fc3f534b2,-99.7836856531619,28.45582964326791
942,442755.8261743624,3160861.991007019,129.9011021703482,Sign,1f51091d-f0df-4b58-bde2-5f0716893963,R2-1,0.8556996192398426,0.9830797632125988,75,,Good,f04d5bf5-d1dc-48ea-b32d-a67403f1b894,-99.58533015970369,28.573387804745263
943,415808.5880858977,3155303.761179442,162.8209231365472,Sign,81edeeff-3131-4cd9-b432-517c6eac0841,M1-6L,0.6623232440554448,0.5923597275359377,LOOP 225,,Good,f30a955a-bb45-4a31-a7e2-66aff6d9cc77,-99.86044034129596,28.521753563255416
944,418020.676326944,3153381.694898989,165.7478520097211,Sign,1eb0f75d-d399-413d-9462-8467acd06ab0,W11-10,1.006128307034966,0.9899587348002528,,,Good,b303a3ba-5cc6-42ab-881d-72a901821889,-99.83769760661504,28.50454696193315
945,439819.0862952147,3134455.650698739,139.2775241732597,Sign,6e524a90-c4d4-4c77-b580-f5a6aef70c2b,D1-2,2.789377738255058,0.846286121661685,Asheton Artesia Wells,,Good,74f605ee-ace1-42b9-a21a-8308a2d9e6e6,-99.61397881402384,28.33490667601173
946,413304.4977383487,3157760.72774885,173.9149680631235,Sign,e6328b00-388e-464b-9398-6737572904fb,M6-1,0.5856962203979478,0.4641227156586584,ARROW,,Good,b7166d14-1dd5-4b6d-bbc9-62c2b150232a,-99.88621530478325,28.54376445176527
947,417321.7843863777,3157808.898557603,153.6549501530826,Sign,5306fa36-cdd2-47e9-a779-36e650c739e1,M6-1,0.5876464009705538,0.3915280046755842,,,Good,5082f709-7914-49b8-bf42-ec7f42a4bb7a,-99.84515718770373,28.544461011106787
948,433973.08750625,3160981.551616406,141.612070779419,Sign,b831e394-c0e1-44b5-95dc-4df97ff586d5,W1-8,0.542405366897583,0.6510822772979736,,,Good,1fd09b83-2424-4dee-b809-e6085d8b210c,-99.67513707081208,28.574049884551133
949,416762.5709856433,3154151.137889629,161.3477835515514,Sign,1d0697ab-de3b-4200-a440-94e9ed6c2a1b,M1-6FS,0.7092193104769908,0.5901703222687618,FARM ROAD 1917,,Good,3d3958c3-e4e1-4361-8c89-a7e0b7551074,-99.85060798700502,28.511411824918387
950,415867.90000625,3155274.556010937,159.1876976295471,Sign,9aeda6b3-cb3d-4daf-8b6c-4c921ab62fb5,Unknown,0.2900747060775757,0.4866307079792023,,,Good,9fafd33c-2f96-450b-b0de-8014cb3b555e,-99.85983208790012,28.52149380706541
