OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
245,675271.245914313,1303703.321719312,188.8509662357344,Sign Face,NO RIGHT TURN,R3-1,2.400697138052913,2.256537594507372,,-173.43872449208433
246,675271.3350240393,1303703.287677394,187.0823321604795,Sign Face,NO RIGHT TURN,R3-1a,2.098795310093036,1.728409544376563,,8.968383905770235
247,678973.3114897801,1303685.56215089,185.0524107214163,Sign Face,,M6-3B,1.881477127237895,1.666524748163899,,-78.50459950048557
248,676436.4248690708,1303663.88365686,189.8351531241012,Sign Face,,D1-1,1.626629920143468,0.7227760326518161,,-81.52323244525226
249,673454.8499770117,1303831.695994259,180.9037678735591,Sign Face,,D3-1,2.415223619130653,1.681391687530858,,174.82676490575744
250,675272.5188817943,1303703.054490257,190.0161447399373,Sign Face,E First St,D3-1,2.578983078478515,0.9791795506564963,,90.0983058370176
251,675331.8138953021,1303763.035949026,189.1066435665725,Sign Face,NO LEFT TURN,R3-2,2.521583883781132,2.448922145397957,,179.03621601567596
252,679970.9559492617,1304478.067109796,207.2889888292351,Sign Face,,D1-1,1.631168516602103,2.507008709932562,,-158.280500231972
253,675343.3040438114,1303701.588485077,188.1084988661141,Sign Face,SPEED 25,R2-1,2.566454760984485,3.499632745277224,,-91.61431314865858
254,682884.5380176775,1305466.307088977,205.7670491485899,Sign Face,BIKE ROUTE,D9-6,0.9013835604735246,0.7872595366217645,,146.30138827083456
255,673758.8995715204,1303751.541795585,184.7239281160753,Sign Face,,D3-1,2.589852321804977,0.9369433630169844,,-161.60577648586963
256,679707.5764342621,1304512.149377337,207.943153716711,Sign Face,PORTLAND RD,D3-1,5.021981523418677,1.443370081621205,,-177.24950542151322
257,673288.3143116548,1303647.969060262,177.9608221729412,Sign Face,RR,W10-1,3.244223713561931,3.487404406540037,,66.36197391454787
258,679707.3793916317,1304512.120141337,209.2834384647383,Sign Face,SITKA ST,D3-1,3.253299928712719,1.569682649114313,,-86.91376641304217
259,677386.9088570342,1303724.227061314,175.3104257683244,Sign Face,SPEED 25,R2-1,3.107357525762923,4.411111353576339,,-84.21118113305077
260,674494.1528329764,1303792.406815136,189.9010311186286,Sign Face,,D1-1,0.9762047939100289,0.8258981302654336,,9.075733894064397
261,674135.4345215965,1303799.396021365,186.916055539099,Sign Face,,W11-2,3.925531398592971,4.566439336991998,,92.06826630867383
262,674290.6242159785,1303799.666654612,188.3718418861753,Sign Face,,D1-1,3.026348399365042,1.133192927036385,,97.54288899611907
263,677002.966886249,1303626.166663663,189.2071610898299,Sign Face,E First St,D3-1,3.308778594485105,1.265556500183316,,-178.6443344004125
264,682863.6627126619,1304627.367252019,215.6262174590807,Sign Face,"LEFT TURN
YIELD
ON GREEN",R10-12,2.89805409476513,3.229051124392532,,88.75927633990554
265,677187.4444445352,1303626.473591602,180.4952977122413,Sign Face,DO NOT ENTER,R5-1,3.285034122116609,3.590733986201248,,91.98451039910562
266,678287.4829879961,1303676.191312014,181.475035372006,Sign Face,DO NOT ENTER,R5-1,4.550087170338067,3.54941357464928,,-86.71753151054656
267,672624.2351661582,1303113.499135375,161.0787119520747,Sign Face,SPEED 30,R2-1,4.057091443244553,5.545118662316029,,-139.09580758976026
268,671906.8841237787,1302389.962150874,166.2584662662219,Sign Face,"ENTERING 
WHEN 
FLASHING",W16-13P,2.1323225316726,1.963105570925815,,51.247450820111666
269,677524.0753583773,1303718.066775785,177.7504521942643,Sign Face,,D3-1,3.027778285069102,5.179328790174068,,88.00767944239281
270,682800.6459162995,1304586.291472948,215.0243388298118,Sign Face,Hayes St,D3-1,5.812710273297126,2.00539475350868,,176.1902236075754
271,674589.0088348628,1304102.702100338,194.4099457157068,Sign Face,E HANCOCK ST,D3-1,4.639728019243775,1.528945670822474,,177.72602668099285
272,682816.3428448695,1305129.792518395,203.6842563558567,Sign Face,35,R2-1,2.809247476222321,3.523743684523374,,1.4944056467205136
273,678766.4487672981,1303684.919159136,184.0132561480408,Sign Face,NO PARKING,R7-1,1.862236051734664,2.44738118542148,,144.57807801040317
274,674588.9874084793,1304102.820245818,195.5898611163345,Sign Face,ONE WAY,R6-1L,3.410405687146925,1.354111246080223,,178.56234223191728
275,682784.6846622498,1304658.112910994,199.2806370401761,Sign Face,CROSS TRAFFIC DOES NOT STOP,R10-11a,1.876252334261816,3.030748935196343,,-87.39929918227975
276,674487.7014890496,1304104.795578163,195.1322789179187,Sign Face,ONE WAY,R6-1,3.308569743564435,1.43484122014734,,4.000080634422989
277,682860.5300552328,1305279.38932592,203.7339988567826,Sign Face,,R3-4,2.359783086251086,2.234101178139213,,-0.5546080860717499
278,682819.0061243252,1305445.383724783,206.6749639936135,Sign Face,,W4-2,4.18127208869914,4.476805528004964,,-2.664598556710559
279,680262.4757150405,1304603.825663849,212.727460545768,Sign Face,,D3-1,1.028513931852626,1.560934963501657,,90.21864353556097
280,676770.9387761153,1304017.753998644,195.3254824460151,Sign Face,GEORGE FOX UNIVERSITY,D1-1,5.933043212089638,2.976978623022244,,11.150510131136315
281,674497.5512176113,1304025.899128231,193.6554009744943,Sign Face,W HANCOCK ST,D3-1,4.677632114705764,1.445696774743047,,2.2855277511197074
282,675593.0537756411,1304056.629868835,196.3313335107822,Sign Face,E HANCOCK ST,D3-1,4.586977517510962,1.420335174389086,,4.394922861895781
283,678848.2146505361,1304144.412761178,200.0522402865496,Sign Face,"CITY CENTER
MCMINNVILLE
PORTLAND",D1-1,5.994739494924469,4.564778698398059,,-14.384842227542805
284,676143.9527305784,1304042.233942267,197.0674211496572,Sign Face,ONE WAY,R6-1L,3.229300650398875,1.329902236855875,,178.39090396060135
285,678290.4149983564,1303640.23854121,180.9183311186566,Sign Face,DO NOT ENTER,R5-1,3.229543527593137,3.426831381840342,,-92.6306332920822
286,677119.2757042752,1303852.639583357,185.2972559640542,Sign Face,,D1-1,2.719284942143858,5.032138170532667,,-46.763174970492656
287,676771.3580924447,1304018.23168685,191.0850484452038,Sign Face,E HANCOCK ST,D3-1,4.721456781772803,1.325945020347755,,-178.75314526521836
288,680964.7869129571,1305037.526906211,224.4240445013876,Sign Face,PORTLAND RD,D3-1,4.668477873789669,1.998570725673765,,179.91161491259533
289,673974.9832483167,1304028.616574385,180.4335357234988,Sign Face,,D3-1,2.467749430125779,0.9742361588740911,,57.63296926313408
290,673023.186093372,1303654.621952367,175.4416999140565,Sign Face,STOP AHEAD,W3-1,4.047820652563741,3.806503582501348,,56.392618243416685
291,676458.872109705,1304031.95648702,196.4977196420087,Sign Face,E HANCOCK ST,D3-1,4.608652644895819,1.271520973503433,,-175.5855630752686
292,676207.7576974623,1304044.848061189,199.4754644428467,Sign Face,E HANCOCK ST,D3-1,4.635864668317979,1.347828216440095,,4.5299764772391455
293,676493.9617176446,1303956.860216476,195.6037626090767,Sign Face,E HANCOCK ST,D3-1,4.728233876816557,1.328064329198652,,-179.64057068339082
294,676458.8256524995,1304031.943871486,195.4747412373203,Sign Face,ONE WAY,R6-1,3.9098085224472,1.432120096026443,,-175.42896838946038
295,676494.0041699187,1303956.873833243,194.5737505434195,Sign Face,ONE WAY,R6-1,3.964942818864436,1.190153202359758,,1.1319678301085074
296,676153.9838825376,1303667.787263605,202.109855201251,Sign Face,LEFT TURN YIELD TO ONCOMING TRAFFIC,R10-12,2.734124699602603,3.202376090322579,,-6.643780414786999
297,676962.7705901379,1303989.04384611,189.4150076487687,Sign Face,,D3-1,3.729208404310732,1.178029875742794,,-74.98714332600802
298,676145.8787021426,1303667.022421809,201.6910770345676,Sign Face,ONE WAY,R6-1,2.981209223038881,3.848909314848932,,-4.627843185987307
299,680335.7154995815,1304830.984177757,217.1656505554183,Sign Face,ONE WAY,R6-1,1.191734446315315,2.622901415574582,,98.34809595047373
300,682950.1059554133,1305766.265645946,225.2623517594128,Sign Face,NO U-TURN,R3-4,2.854433389786347,3.073736829707629,,-115.56729400397198
301,678049.6621449228,1303745.614396824,183.122138548974,Sign Face,STOP,R1-1,0.5261612239628639,0.7666034374650068,,140.9851235140438
302,676976.1426559648,1303893.378047072,181.7676096988291,Sign Face,ONE WAY,R6-1,3.271366511117129,1.194547871592164,,-142.6901244478474
303,674033.944150413,1303763.260525561,186.528465776569,Sign Face,,W1-8R,3.070725895601307,1.321392930711661,,178.1359004908118
304,675539.2154813191,1303990.319717167,195.5909749879115,Sign Face,E HANCOCK ST,D3-1,4.697415068393616,1.357084145070374,,-176.2678217223406
305,680212.4853589155,1304732.833518962,211.3771353092848,Sign Face,,R7-8,1.012933614060009,1.617669081437619,,74.61036469777015
306,674589.6810626172,1304103.387143873,198.4652048245631,Sign Face,CEMETERY,D1-1,3.5284619944615,3.399876315449792,,-79.99213237847621
307,675632.5061557239,1303750.777053913,187.138951879737,Sign Face,,R2-1,1.033339209443941,1.631914747981574,,-95.21091876531389
308,675295.0392124286,1304077.943713852,200.2870074944988,Sign Face,N DELAWARE ST,D3-1,3.721860293641178,1.173559136278047,,-87.53883132407971
309,680336.1248035821,1304843.445321911,217.8214330597628,Sign Face,ONE WAY,R6-1,1.225007253056123,1.857028271895381,,-81.76573870753977
310,671770.7278664096,1302294.029323027,167.6246383596409,Sign Face,W 26TH ST,D3-1,0.5868328564123219,1.707651953058918,,143.72970973052256
311,675543.8501883119,1304058.587779728,199.1711616115123,Sign Face,ONE WAY,R6-1L,3.347296727298125,1.501954035965476,,1.263580082829712
312,676458.9910561709,1304031.463580074,197.836818554846,Sign Face,,D3-1,4.309294183110314,1.257932659365686,,-85.04001877558717
313,675330.8993691913,1303762.350905491,190.4366938372738,Sign Face,,D3-1,1.88382161570972,0.9006244225764837,,-50.47213622568311
314,675041.0020011682,1304087.625135166,202.63204507998,Sign Face,N WASHINGTON ST,D3-1,5.284079260087701,1.20291540159641,,-87.15291736858363
315,673820.356246812,1303882.001238124,183.7456672748058,Sign Face,RR,W10-1,3.027219198194388,3.17281586291596,,-133.03466432945092
316,676534.6602321675,1303954.024224349,192.3572243266973,Sign Face,"No Parking
8 AM - 6 PM
Except Sat Sun & Holidays",R7-302,1.419205756325108,3.208192040914,,94.35050906558537
317,676713.6738623912,1303654.048245928,198.7206975530893,Sign Face,ONE WAY,R6-1,2.774532659473068,3.464476955844348,,2.1802148298740502
318,682797.2136899934,1304626.438708648,216.7638870899574,Sign Face,LEFT TURN YIELD ON GREEN,R10-12,2.835014947443183,3.241816061375335,,88.3598083921833
319,673845.8054839848,1303980.894411222,182.7319315011236,Sign Face,RR,W10-1,3.120057734604583,3.28153880249484,,47.27331198552056
320,676175.589687061,1303742.533803504,194.355334719911,Sign Face,"219 NORTH
Scholls
Hillsboro",D1-1,6.065155499250556,5.816431261423065,,92.6577464676299
321,679581.6726013183,1304440.622502004,207.0883198584913,Sign Face,SOUTH 219 ST PAUL LEFT LANE,D1-1,5.072545348189947,5.152247396353974,,67.48221338534181
322,673764.2289338841,1303824.208474427,186.8077534302142,Sign Face,DO NOT ENTER,R5-1,3.594113147164892,3.542379913680509,,-136.5930163979946
323,676807.5090072352,1304013.054311637,190.3657126839208,Sign Face,US 101,M1-4,2.011594966327737,0.7126130300556893,,95.40503903971185
324,675367.9636086131,1304028.823429098,206.0514900227047,Sign Face,RAILROAD CROSSING,R15-1,3.210786250945464,3.389718886122616,,93.35729673048824
325,681192.049154591,1305120.498674328,217.7718157129466,Sign Face,DO NOT ENTER,R5-1a,4.039137695092228,4.345459027553168,,114.66581981348568
326,678789.657745906,1303979.613433878,190.802381630595,Sign Face,,M6-3,2.038742457162051,2.168817470079957,,-19.091028935760583
327,673731.7020816192,1303876.372106637,184.1259167487981,Sign Face,DO NOT ENTER,R5-1,3.335114539138914,3.563633428158096,,46.87303538961489
328,678811.5186645668,1303627.666760823,185.2698753736905,Sign Face,NO THRU TRUCKS,R5-2,2.665601064526816,3.775940166683647,,-89.65643914486532
329,682326.0575271406,1305571.261725919,212.9176134424388,Sign Face,VAN ACCESSIBLE,R7-8,1.529885988848729,2.476204568006861,,75.72829092360924
330,680617.9542370733,1304772.5165831,221.8273032280532,Sign Face,2504,D3-100,1.873451228842647,6.050228916128163,,-20.008764662690165
