OBJECTID,X,Y,Z,Layer,Text,MUTCD,Longitude,Latitude
84,3115216.889754109,1211910.401132859,5452.116989208837,Sign Face,,W1-2,-105.0892511477595,39.91434083967493
85,3112685.416856363,1214498.319021958,5436.799582000951,Sign Face,,M6-1L,-105.09823393741426,39.921476971915034
86,3117331.228242471,1211924.596183722,5414.196238048455,Sign Face,NO TRAIN HORN,R15-1,-105.08171339139528,39.91435267504445
87,3115140.754956847,1213042.554960272,5418.721207125564,Sign Face,,W1-8R,-105.08950388079833,39.91744977052196
88,3111005.435149922,1214818.606371201,5428.993266459684,Sign Face,AHEAD,W11-15,-105.10421852963357,39.922376957415686
89,3116203.078137084,1210333.622700649,5432.453579814017,Sign Face,,,-105.0857616905914,39.90999970894013
90,3116064.083262003,1210753.707537176,5447.494285918455,Sign Face,,,-105.08625018221603,39.91115469795852
91,3112202.581676919,1214492.894753566,5448.309636717618,Sign Face,,,-105.09995549099332,39.92146807391289
92,3112271.588911823,1214493.316872504,5446.434173280776,Sign Face,NO PARKING,R7-1,-105.09970945072968,39.92146837781588
93,3115500.604942911,1211691.182033128,5451.906532825411,Sign Face,,,-105.08824334496181,39.913735432172885
94,3110782.730765512,1214941.088946681,5419.497389459988,Sign Face,,M6-1L,-105.10501060951742,39.92271591988352
95,3115126.93917224,1213149.38389175,5420.176978045683,Sign Face,KEEP RIGHT,R4-7,-105.08955137280027,39.917743210411764
96,3115830.8789694,1211151.06162938,5456.575934931815,Sign Face,SPEED LIMIT 35,R2-1,-105.08707490996652,39.9122484896807
97,3116081.574364908,1211921.400655259,5439.214568081677,Sign Face,W 120TH AVE,D3-1,-105.08616840390697,39.914359998750605
98,3115087.062148925,1212902.014184719,5423.598381065111,Sign Face,,R2-1,-105.08969762030934,39.91706464337956
99,3115226.184380574,1212132.913481187,5448.86862235107,Sign Face,SPEED LIMIT 25,R2-1,-105.08921433810295,39.914951557382906
100,3111318.406905649,1214612.058048448,5447.949831887066,Sign Face,SPEED LIMIT 35,R2-1,-105.1031059635569,39.92180610537309
101,3112202.608509907,1214492.868321071,5447.572658829669,Sign Face,NO PARKING,R7-1,-105.09995539575006,39.921468001018695
102,3110827.67601952,1214916.731001939,5423.536048185409,Sign Face,STOP HERE FOR,R1-5b,-105.10485074894723,39.922648503279994
103,3115716.982148925,1211847.277130581,5442.968034014285,Sign Face,,R2-1,-105.08746938816611,39.91416118013141
104,3115667.20815865,1214011.136898545,5402.822809106887,Sign Face,,W1-2,-105.08761095470854,39.92010199336445
105,3117058.838977335,1211857.698742519,5423.930724010051,Sign Face,,D3-1,-105.082685568935,39.914172552911204
106,3110825.056399057,1214874.805059759,5422.918923890968,Sign Face,SPEED LIMIT 35,R2-1,-105.10486075502389,39.92253344114434
107,3115500.681036457,1211691.251718797,5454.274051176091,Sign Face,,,-105.08824307254064,39.91373562250244
