OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
1105,1443065.756,336152.2881,1053.115473,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8cb011aa-aac0-4018-b071-bda99b032d2a,"US 119 PA Turnpike 66 Connellsville Delmont
EXIT 75",D1-1,14.17713196,11.59433802,,117.8784369,-79.63229104,40.24073156
1106,1430643.72,362497.5912,1096.488444,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4237c150-997c-4f79-9b97-fbb2627bd967,,D3-1,1.015373653,1.211596034,,-25.40757607,-79.67883821,40.31229848
1107,1490223.389,302284.5452,1388.674397,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c4986cbf-c029-49d9-90b5-f4095ab469d0,MILE 84,D10-1,0.501272007,1.112171559,,-69.75825858,-79.46104974,40.15041437
1108,1479703.308,309729.3375,1160.460138,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-526d4b62-f222-4d5c-9e33-da4ffa480f2e,"MILE
8
2/2",D10-1,7.296272889,8.274265822,,89.67893744,-79.49920341,40.17028138
1109,1490223.409,302284.6413,1387.317779,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-76c53ed9-b96f-4df1-9251-cf77acbf35d5,"MILE
84
.7",D10-1,1.107781885,3.675227953,,-68.24271251,-79.46104967,40.15041464
1110,1486566.471,304292.8237,1326.83998,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c5d60cff-27cb-437c-b064-eb3554e548c0,NO TRUCKS BUSES TRAILERS LEFT LANE,R14-1a,16.62246941,5.709376315,,-78.7595782,-79.47426943,40.15573101
1111,1486567.726,304288.3133,1327.039475,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-028e71c0-5df1-4390-a49a-249ca4102523,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10a,19.23727458,5.138333671,,90.59943333,-79.47426463,40.1557187
1112,1486564.442,304290.5745,1327.081426,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-3c4ed89b-70ae-4c80-b4d1-4546d4213647,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10,14.49505405,4.775017884,,-70.25538292,-79.47427653,40.15572473
1113,1432981.673,353854.6844,1062.586266,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a1d4662e-071c-450d-ac32-add4ac634b06,EAST 76 MILE 69.0,D10-1,0.578277612,5.228437801,,-77.72421037,-79.6697829,40.2887187
1114,1435219.592,345140.7462,1019.815786,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4d7b6352-bb16-463f-bd0f-acb4bd581434,Push Button Wait For Walk Signal,R10-3e,0.182905912,0.353924115,,-9.635077858,-79.66108677,40.26493726
1115,1464629.027,320549.2824,1027.662933,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-13c81caf-d192-46bb-910d-20c463f63b2c,"MILE
78
.6",D10-1,54.95690571,6.80640191,,105.3342379,-79.55392414,40.19914469
1116,1439019.989,343888.8968,1116.652333,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-07516bba-deaa-4e0c-9764-9d4e17940309,"MILE
71
6",D10-1,1.160475082,4.09057724,,125.6944815,-79.64737534,40.26172658
1117,1427054.181,372006.5932,1007.787098,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6bdaa413-e590-472e-9c35-b40384d4c3ff,MILE 65.3,D10-1,0.929382392,3.197735473,,179.3146925,-79.69245667,40.33817889
1118,1482007.58,308254.989,1180.958288,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4e3f0ce6-a34a-47b5-97f7-117d2e674a1d,55 MPH,W3-5,2.646193561,2.319921947,,103.9241993,-79.4908555,40.16635993
1119,1482006.908,308253.6177,1185.170016,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-422021c8-a3e0-4ed5-aa9d-6d9caff9dad1,,W1-2,3.85966172,4.868790195,,111.6285243,-79.49085781,40.16635613
1120,1482006.829,308252.9817,1181.346515,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2125815b-53b2-45ba-982d-169cbc919abd,55 M.P.H.,W13-1P,0.553910351,2.918269447,,-145.2006823,-79.49085805,40.16635438
1121,1431038.253,380852.7259,1147.096059,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a29d9e12-480f-46d3-996a-4df919f181c7,ONE WAY,R6-1,3.837534127,1.537511252,,95.32975345,-79.67886128,40.3626957
1122,1485206.805,305379.9778,1305.378896,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-148b2d70-cb88-4371-8660-9e1ef6a5b963,SR 982,M1-6,6.527545814,2.70590916,,-57.18871347,-79.47920898,40.15864181
1123,1486136.032,304606.2097,1323.564203,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-01610cbd-80ec-47a9-bfa6-46d04f1c5248,,W1-5,2.58125357,4.134341589,,132.5451576,-79.47583098,40.15656804
1124,1486134.97,304604.8857,1320.111958,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-0d489b93-329d-49ca-a7be-c5ecd8a02e84,55 M.P.H.,W13-1,0.602148022,2.664428282,,60.53627912,-79.47583468,40.15656435
1125,1486127.714,304591.5645,1316.695759,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2444d80f-a5c5-4ced-8550-eb214a634475,"MILE
8
3.8",D10-1,24.18631813,4.882858271,,-70.01837829,-79.47585971,40.1565274
1126,1486136.602,304606.8329,1317.911954,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e99eee8c-b55b-4595-8a0f-8594e08e6eab,"MILE
83
.8",D10-1,0.521582718,4.211699189,,33.63983773,-79.47582898,40.15656978
1127,1486130.465,304596.9159,1315.684265,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2401b544-7860-4903-8f32-2eb6c1efd9f7,MILE 83.8,D10-1,27.5007584,4.328764589,,-71.25698878,-79.47585024,40.15654224
1128,1449208.514,330821.815,1014.662751,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ebe408e7-af2d-41d9-ba44-005007006328,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10a,4.033384272,5.045570413,,130.1139876,-79.60988995,40.22645953
